content_id,publish_date,advertiser_id,content_type,title,gated,views,avg_dwell_sec,downloads,attributed_mql,linked_campaign
CNT-010,2026-05-01,ADV-MS,웨비나,웨비나 게시물 #10,Y,233,1095,43,8,N
CNT-014,2026-05-01,ADV-ADOBE,웨비나,웨비나 게시물 #14,Y,390,973,59,10,N
CNT-016,2026-05-01,ADV-AWS,블로그,블로그 게시물 #16,N,1776,92,0,7,N
CNT-027,2026-05-01,ADV-HP,SNS_링크드인,SNS_링크드인 게시물 #27,N,1694,36,0,6,N
CNT-029,2026-05-04,ADV-CISCO,웨비나,웨비나 게시물 #29,Y,268,803,80,13,N
CNT-039,2026-05-04,ADV-HP,블로그,블로그 게시물 #39,N,1584,82,0,6,N
CNT-017,2026-05-05,ADV-CISCO,블로그,블로그 게시물 #17,N,1671,132,0,6,N
CNT-034,2026-05-05,ADV-HP,SNS_링크드인,SNS_링크드인 게시물 #34,N,2574,28,0,10,N
CNT-042,2026-05-06,ADV-HP,케이스스터디,케이스스터디 게시물 #42,Y,546,243,76,14,N
CNT-009,2026-05-07,ADV-MS,웨비나,웨비나 게시물 #9,Y,506,736,116,20,N
CNT-020,2026-05-07,ADV-MS,SNS_링크드인,SNS_링크드인 게시물 #20,N,1705,31,0,6,N
CNT-044,2026-05-07,ADV-HP,케이스스터디,케이스스터디 게시물 #44,Y,712,157,123,27,N
CNT-001,2026-05-08,ADV-ADOBE,백서,디자인팀 생산성 벤치마크 리포트 2026,Y,796,241,239,100,Y
CNT-023,2026-05-08,ADV-MS,웨비나,웨비나 게시물 #23,Y,519,1086,117,34,N
CNT-043,2026-05-08,ADV-CISCO,블로그,블로그 게시물 #43,N,1574,132,0,6,N
CNT-032,2026-05-12,ADV-MS,블로그,블로그 게시물 #32,N,1746,90,0,6,N
CNT-033,2026-05-12,ADV-HP,블로그,블로그 게시물 #33,N,1187,128,0,4,N
CNT-002,2026-05-13,ADV-AWS,케이스스터디,제조사 클라우드 전환 사례집,Y,505,190,150,74,Y
CNT-006,2026-05-13,ADV-AWS,블로그,블로그 게시물 #6,N,1440,136,0,5,N
CNT-030,2026-05-13,ADV-MS,백서,백서 게시물 #30,Y,521,266,81,13,N
CNT-037,2026-05-13,ADV-MS,블로그,블로그 게시물 #37,N,1250,120,0,5,N
CNT-011,2026-05-14,ADV-ADOBE,백서,백서 게시물 #11,Y,450,292,113,30,N
CNT-046,2026-05-14,ADV-ADOBE,블로그,블로그 게시물 #46,N,1029,117,0,4,N
CNT-047,2026-05-14,ADV-AWS,SNS_링크드인,SNS_링크드인 게시물 #47,N,1426,42,0,5,N
CNT-013,2026-05-15,ADV-AWS,백서,백서 게시물 #13,Y,665,188,195,51,N
CNT-015,2026-05-15,ADV-ADOBE,블로그,블로그 게시물 #15,N,910,109,0,3,N
CNT-024,2026-05-15,ADV-MS,백서,백서 게시물 #24,Y,515,184,120,28,N
CNT-038,2026-05-15,ADV-ADOBE,블로그,블로그 게시물 #38,N,1375,138,0,5,N
CNT-008,2026-05-18,ADV-MS,SNS_링크드인,SNS_링크드인 게시물 #8,N,1834,40,0,7,N
CNT-019,2026-05-18,ADV-CISCO,웨비나,웨비나 게시물 #19,Y,346,986,97,28,N
CNT-021,2026-05-18,ADV-CISCO,블로그,블로그 게시물 #21,N,1955,77,0,7,N
CNT-028,2026-05-18,ADV-AWS,백서,백서 게시물 #28,Y,665,283,112,26,N
CNT-035,2026-05-18,ADV-AWS,케이스스터디,케이스스터디 게시물 #35,Y,350,224,73,14,N
CNT-003,2026-05-20,ADV-MS,백서,엔터프라이즈 보안 ABM 가이드,Y,814,243,339,165,Y
CNT-005,2026-05-20,ADV-CISCO,백서,백서 게시물 #5,Y,847,307,111,21,N
CNT-025,2026-05-20,ADV-MS,케이스스터디,케이스스터디 게시물 #25,Y,622,195,99,19,N
CNT-012,2026-05-21,ADV-HP,웨비나,웨비나 게시물 #12,Y,261,632,31,7,N
CNT-018,2026-05-21,ADV-AWS,백서,백서 게시물 #18,Y,785,271,226,61,N
CNT-007,2026-05-22,ADV-ADOBE,케이스스터디,케이스스터디 게시물 #7,Y,692,225,111,28,N
CNT-031,2026-05-22,ADV-HP,SNS_링크드인,SNS_링크드인 게시물 #31,N,1612,44,0,6,N
CNT-004,2026-05-26,ADV-ADOBE,웨비나,Creative Cloud B2B 라이브 세션,Y,355,976,118,54,Y
CNT-045,2026-05-26,ADV-MS,백서,백서 게시물 #45,Y,415,298,64,10,N
CNT-048,2026-05-26,ADV-ADOBE,SNS_링크드인,SNS_링크드인 게시물 #48,N,2232,27,0,8,N
CNT-040,2026-05-27,ADV-CISCO,백서,백서 게시물 #40,Y,621,308,159,40,N
CNT-026,2026-05-28,ADV-MS,웨비나,웨비나 게시물 #26,Y,519,1080,66,15,N
CNT-022,2026-05-29,ADV-AWS,백서,백서 게시물 #22,Y,535,273,68,20,N
CNT-036,2026-05-29,ADV-AWS,백서,백서 게시물 #36,Y,482,243,58,13,N
CNT-041,2026-05-29,ADV-AWS,백서,백서 게시물 #41,Y,895,283,198,41,N
